   2                 
  18                     
   9                         
  20                             
22,1970-01-01
2,2009-04-20
2,2009-11-04
1,2010-06-24
1,2010-08-31
1,2010-09-02
1,2010-09-03
13,2010-09-09
79,2010-09-14
4,2010-09-16
3,2010-09-17
2,2010-09-20
3,2010-09-23
1,2010-09-24
4,2010-10-04
6,2010-10-06
1,2010-10-07
10,2010-10-12
4,2010-10-13
1,2010-10-15
11,2010-10-20
40,2010-10-21
2,2010-10-22
2,2010-10-26
2,2010-11-08
2,2010-11-12
4,2010-11-15
21,2010-11-22
3,2010-11-23
3,2010-11-24
5,2010-11-26
1,2010-11-29
5,2010-12-01
20,2010-12-02
21,2010-12-03
1,2010-12-06
19,2010-12-09
2,2010-12-10
3,2010-12-14
49,2010-12-16
6,2010-12-17
32,2010-12-20
2,2011-01-03
7,2011-01-05
1,2011-01-13
5,2011-01-14
4,2011-01-17
21,2011-01-18
6,2011-01-19
4,2011-01-20
8,2011-01-24
31,2011-01-25
3,2011-01-26
44,2011-01-27
52,2011-01-28
13,2011-01-31
16,2011-02-01
3,2011-02-02
18,2011-02-03
10,2011-02-07
5,2011-02-09
1,2011-02-10
2,2011-02-11
15,2011-02-14
8,2011-02-15
1,2011-02-17
16,2011-02-18
5,2011-02-24
2,2011-02-25
4,2011-02-28
4,2011-03-03
2,2011-03-04
2,2011-03-10
2,2011-03-11
6,2011-03-15
25,2011-03-17
21,2011-03-18
5,2011-03-21
3,2011-03-22
8,2011-03-23
18,2011-03-24
11,2011-03-25
3,2011-03-28
1,2011-03-31
3,2011-04-01
6,2011-04-05
4,2011-04-06
2,2011-04-12
6,2011-04-13
5,2011-04-14
2,2011-04-18
2,2011-04-19
1,2011-04-20
1,2011-04-21
1,2011-05-05
5,2011-05-11
36,2011-05-17
1,2011-05-18
14,2011-05-19
13,2011-05-20
13,2011-05-24
4,2011-05-25
1,2011-05-26
5,2011-05-27
4,2011-05-31
1,2011-06-01
1,2011-06-06
1,2011-06-07
1,2011-06-08
3,2011-06-09
1,2011-06-10
2,2011-06-20
9,2011-06-22
9,2011-06-27
10,2011-06-30
3,2011-07-01
32,2011-07-06
25,2011-07-07
37,2011-07-08
2,2011-07-11
9,2011-07-12
2,2011-07-13
1,2011-07-14
3,2011-07-15
1,2011-07-18
1,2011-07-21
2,2011-07-26
21,2011-07-27
3,2011-07-28
4,2011-08-05
38,2011-08-10
4,2011-08-11
2,2011-08-12
7,2011-08-17
1,2011-08-22
1,2011-08-23
2,2011-08-24
1,2011-08-26
4,2011-08-30
9,2011-08-31
10,2011-09-01
4,2011-09-05
3,2011-09-06
3,2011-09-08
11,2011-09-14
16,2011-09-15
1,2011-09-16
2,2011-09-20
2,2011-09-21
1,2011-09-22
12,2011-09-26
2,2011-09-27
2,2011-09-28
3,2011-09-29
1,2011-09-30
25,2011-10-03
6,2011-10-04
22,2011-10-05
2,2011-10-06
4,2011-10-07
15,2011-10-10
6,2011-10-11
5,2011-10-12
4,2011-10-13
1,2011-10-14
2,2011-10-17
39,2011-10-19
3,2011-10-20
44,2011-10-21
2,2011-10-24
14,2011-10-25
1,2011-10-27
53,2011-10-28
2,2011-10-31
3,2011-11-04
2,2011-11-07
1,2011-11-08
2,2011-11-09
3,2011-11-10
2,2011-11-11
13,2011-11-14
19,2011-11-15
29,2011-11-16
18,2011-11-17
7,2011-11-18
57,2011-11-22
2,2011-11-23
3,2011-11-24
11,2011-11-25
1,2011-11-28
29,2011-11-29
73,2011-11-30
8,2011-12-01
19,2011-12-02
31,2011-12-05
1,2011-12-06
21,2011-12-07
28,2011-12-08
16,2011-12-09
3,2011-12-12
44,2011-12-13
102,2011-12-14
11,2011-12-15
4,2011-12-16
16,2011-12-19
71,2011-12-20
49,2011-12-21
1,2011-12-22
33,2012-01-03
7,2012-01-04
12,2012-01-05
5,2012-01-06
1,2012-01-09
6,2012-01-10
70,2012-01-11
52,2012-01-12
89,2012-01-13
260,2012-01-16
174,2012-01-17
104,2012-01-18
23,2012-01-19
39,2012-01-20
47,2012-01-23
29,2012-01-24
18,2012-01-25
115,2012-01-26
475,2012-01-27
14,2012-01-28
154,2012-01-30
235,2012-01-31
81,2012-02-01
94,2012-02-02
61,2012-02-03
3,2012-02-04
12,2012-02-06
128,2012-02-07
116,2012-02-08
836,2012-02-09
190,2012-02-10
255,2012-02-11
28,2012-02-13
